as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_50mX4200350000Y2984650000Z0;8.3188968125;49.9620838478;8.3185563881;49.9618539778;8.3185406271;49.9623034215;8.31923724;49.9623137167;8.3192529945;49.9618642729;TGB101_100mX4200300000Y2984600000Z0
TGB101_50mX4197250000Y2989250000Z0;8.2742190189;50.0027852587;8.2738785225;50.0025552578;8.2738623221;50.0030046885;8.2745595186;50.0030152586;8.2745757124;50.0025658278;TGB101_100mX4197200000Y2989200000Z0
TGB101_50mX4197250000Y2989000000Z0;8.2742999997;50.0005381041;8.2739595187;50.0003081033;8.2739433202;50.0007575343;8.274640484;50.0007681039;8.274656676;50.0003186727;TGB101_100mX4197200000Y2989000000Z0
TGB101_50mX4181700000Y2985750000Z0;8.0586811817;49.967833843;8.0583419617;49.9676031993;8.0583237587;49.9680525969;8.0590204049;49.9680644857;8.0590386014;49.9676150879;TGB101_100mX4181700000Y2985700000Z0
TGB101_50mX4191200000Y2986300000Z0;8.1908623416;49.9749593339;8.190522439;49.9747290833;8.1905054712;49.9751785038;8.1912022474;49.9751895834;8.1912192086;49.9747401628;TGB101_100mX4191200000Y2986300000Z0
TGB101_50mX4194350000Y2989100000Z0;8.2338320182;50.0008167417;8.2334917289;50.0005866204;8.2334751505;50.0010360446;8.2341723108;50.001046862;8.2341888827;50.0005974377;TGB101_100mX4194300000Y2989100000Z0
TGB101_50mX4198750000Y2989850000Z0;8.2949429026;50.0084936447;8.294602267;50.0082637059;8.2945862582;50.0087131392;8.2952835416;50.0087235826;8.2952995438;50.0082741491;TGB101_100mX4198700000Y2989800000Z0
TGB101_50mX4195650000Y2987700000Z0;8.2524173918;49.9885125597;8.2520770998;49.9882824931;8.2520607022;49.9887319221;8.252757687;49.9887426253;8.2527740781;49.9882931961;TGB101_100mX4195600000Y2987700000Z0
TGB101_50mX4197200000Y2988650000Z0;8.2737162423;49.997381514;8.2733757862;49.9971515113;8.2733595839;49.9976009427;8.2740567016;49.9976115157;8.2740728975;49.9971620842;TGB101_100mX4197200000Y2988600000Z0
TGB101_50mX4195650000Y2989950000Z0;8.2516792553;50.0087368037;8.2513388249;50.008506736;8.2513224099;50.0089561621;8.2520196889;50.0089668705;8.2520360973;50.0085174442;TGB101_100mX4195600000Y2989900000Z0
TGB101_50mX4196200000Y2989450000Z0;8.2595126832;50.004360059;8.2591722461;50.0041300143;8.2591559069;50.0045794423;8.2598531236;50.0045901026;8.2598694563;50.0041406744;TGB101_100mX4196200000Y2989400000Z0
TGB101_50mX4197700000Y2987700000Z0;8.2809938739;49.9889477995;8.2806534422;49.9887178181;8.2806373124;49.9891672518;8.2813343089;49.98917778;8.2813504321;49.9887283461;TGB101_100mX4197700000Y2987700000Z0
TGB101_50mX4195300000Y2990500000Z0;8.2466172771;50.0136054161;8.2462768368;50.0133753336;8.2462603718;50.0138247582;8.2469577207;50.0138354977;8.2469741791;50.013386073;TGB101_100mX4195300000Y2990500000Z0
TGB101_50mX4194900000Y2990700000Z0;8.2409724623;50.0153170581;8.240632037;50.0150869589;8.2406155181;50.0155363823;8.2413128908;50.0155471564;8.2413294032;50.0150977329;TGB101_100mX4194900000Y2990700000Z0
TGB101_50mX4196450000Y2989300000Z0;8.2630476618;50.0030650202;8.2627072169;50.002834986;8.2626909115;50.0032844148;8.26338811;50.0032950533;8.2634044089;50.0028456244;TGB101_100mX4196400000Y2989300000Z0
TGB101_50mX4200150000Y2984850000Z0;8.3160472378;49.9638404058;8.3157068148;49.9636105275;8.3156910262;49.9640599705;8.3163876641;49.9640702832;8.3164034462;49.9636208401;TGB101_100mX4200100000Y2984800000Z0
TGB101_50mX4199700000Y2984450000Z0;8.3099042773;49.9601518808;8.3095639095;49.959921984;8.3095480652;49.9603714265;8.3102446484;49.9603817767;8.3102604862;49.959932334;TGB101_100mX4199700000Y2984400000Z0
