SOB_ID;as_code;ring
SOB_20251217T163546176743Z_YZGNUSAP2VET;TGB101_10mX4197500000Y2988810000Z0;0
SOB_20251217T163546176940Z_34D6OAVZORES;TGB101_10mX4196690000Y2989050000Z0;0
SOB_20251217T163546177154Z_VCIEHSKQERC6;TGB101_10mX4175350000Y2987570000Z0;0
SOB_20251217T163546177356Z_X2PH74QPFZAR;TGB101_10mX4196990000Y2985610000Z0;0
SOB_20251217T163546177588Z_UCGUBSQJUZCG;TGB101_10mX4197150000Y2989020000Z0;0
SOB_20251217T163546177801Z_STRZBRBAL5FT;TGB101_10mX4196620000Y2988460000Z0;0
SOB_20251217T163546178000Z_SYQVL4UECVC3;TGB101_10mX4197340000Y2988580000Z0;0
SOB_20251217T163546178214Z_OHDASWNLNVCX;TGB101_10mX4195620000Y2990080000Z0;0
SOB_20251217T163546178441Z_WEYKCPAEK5BN;TGB101_10mX4195080000Y2986970000Z0;0
SOB_20251217T163546178652Z_C35VDJ5UEVGR;TGB101_10mX4197460000Y2988920000Z0;0
SOB_20251217T163546178787Z_PNGTLW6RKVCE;TGB101_10mX4196740000Y2989160000Z0;0
SOB_20251217T163546178928Z_U2GKROFUUJB3;TGB101_10mX4196610000Y2989340000Z0;0
SOB_20251217T163546179061Z_GHFWLIERHJCN;TGB101_10mX4192280000Y2989030000Z0;0
SOB_20251217T163546179188Z_EWIBMHKGCRCG;TGB101_10mX4198080000Y2989940000Z0;0
